-0.007981,-0.017437,0.185694,
-0.007815,-0.017230,0.185694,
-0.007320,-0.016616,0.185694,
-0.006501,-0.015617,0.185694,
-0.005380,-0.014257,0.185694,
-0.003995,-0.012561,0.185694,
-0.002413,-0.010525,0.185694,
-0.000755,-0.008201,0.185694,
0.000920,-0.005647,0.185694,
0.002537,-0.002916,0.185694,
0.004010,-0.000066,0.185694,
0.005282,0.002827,0.185694,
0.006353,0.005666,0.185694,
0.007220,0.008360,0.185694,
0.007873,0.010827,0.185694,
0.008309,0.012992,0.185694,
0.008530,0.014788,0.185694,
0.008580,0.016148,0.185694,
0.008398,0.017049,0.185694,
0.007991,0.017432,0.185694,
0.007463,0.017296,0.185694,
0.006836,0.016695,0.185694,
0.006078,0.015632,0.185694,
0.005128,0.014159,0.185694,
0.004042,0.012306,0.185694,
0.002852,0.010119,0.185694,
0.001597,0.007655,0.185694,
0.000318,0.004976,0.185694,
-0.000931,0.002144,0.185694,
-0.002084,-0.000779,0.185694,
-0.003131,-0.003707,0.185694,
-0.004089,-0.006541,0.185694,
-0.004969,-0.009185,0.185694,
-0.005797,-0.011542,0.185694,
-0.006559,-0.013577,0.185694,
-0.007183,-0.015224,0.185694,
-0.007638,-0.016436,0.185694,
-0.007911,-0.017177,0.185694,
-0.007981,-0.017437,0.185694,
